"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\app.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 3, 11, 46
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\config\database.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\appointmentController.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 1, 23, 75
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\blogController.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 3, 25, 124
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\contactUsController.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\orderController.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 18, 37, 158
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\paymentController.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\productController.js", "JavaScript", 0, 202, 0, 0, 0, 0, 0, 8, 64, 274
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\rentBikeController.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 2, 25, 106
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\userController.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 45, 77, 322
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\workshopController.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 2, 43, 172
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\auth.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\catchAsyncErrors.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\error.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 3, 5, 33
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\appointmentModel.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\blogModel.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\contactUsModel.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\orderModel.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 4, 2, 102
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\productModel.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 5, 93
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\rentBikeModel.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 5, 3, 40
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\userModel.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 16, 11, 89
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\workshopModel.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 5, 78
