"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\app.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 3, 6, 43
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\config\database.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\appointmentController.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 5, 32, 121
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\blogController.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 3, 24, 123
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\contactUsController.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\orderController.js", "JavaScript", 0, 0, 118, 0, 0, 0, 0, 15, 31, 164
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\paymentController.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\productController.js", "JavaScript", 0, 0, 225, 0, 0, 0, 0, 9, 62, 296
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\rentBikeController.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 17, 36, 169
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\usedBikeController.js", "JavaScript", 0, 0, 118, 0, 0, 0, 0, 8, 27, 153
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\userController.js", "JavaScript", 0, 0, 284, 0, 0, 0, 0, 60, 114, 458
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\controllers\workshopController.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 3, 43, 194
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\auth.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\bikead.middleware.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\blog.middleware.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\catchAsyncErrors.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\contact.middleware.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\error.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 3, 5, 33
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\rentad.middleware.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\middlewares\workshop.middleware.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\appointmentModel.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\blogModel.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\contactUsModel.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\orderModel.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 4, 2, 102
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\productModel.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 4, 88
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\rentBikeModel.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 1, 3, 66
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\usedBikeModel.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 1, 3, 74
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\userModel.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 9, 19, 112
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\models\workshopModel.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 2, 84
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\appointmentRoute.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\blogRoute.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 8, 22
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\contactUsRoute.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\orderRoute.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 9, 26
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\paymentRoute.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\productRoute.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 9, 12, 42
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\rentBikeRoute.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 10, 24
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\usedBikeRoute.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\userRoute.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 12, 37
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\routes\workshopRoute.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 11, 24
"e:\fyp_bikezone\fyp_bikezone\bikezone_api\server.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 3, 10, 32
