Date : 2024-01-07 05:38:43
Directory : e:\fyp_bikezone\fyp_bikezone
Total : 209 files,  47785 codes, 596 comments, 2868 blanks, all 51249 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |         27 |     31,150 |          0 |          5 |     31,155 |
| JavaScript JSX |         83 |     11,678 |        243 |      1,873 |     13,794 |
| JavaScript     |         90 |      4,738 |        310 |        919 |      5,967 |
| HTML           |          4 |        127 |         15 |         23 |        165 |
| CSS            |          3 |         54 |         28 |         14 |         96 |
| Markdown       |          1 |         38 |          0 |         33 |         71 |
| Properties     |          1 |          0 |          0 |          1 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |        209 |     47,785 |        596 |      2,868 |     51,249 |
| . (Files)                                                                                     |          2 |      2,598 |          0 |          2 |      2,600 |
| bikezone_api                                                                                  |         47 |      2,364 |        163 |        587 |      3,114 |
| bikezone_api (Files)                                                                          |          2 |         53 |          6 |         16 |         75 |
| bikezone_api\config                                                                           |          1 |          9 |          0 |          3 |         12 |
| bikezone_api\controllers                                                                      |         10 |      1,236 |        120 |        379 |      1,735 |
| bikezone_api\middlewares                                                                      |          8 |        151 |          3 |         27 |        181 |
| bikezone_api\models                                                                           |          9 |        559 |         15 |         41 |        615 |
| bikezone_api\routes                                                                           |         10 |        138 |         10 |         80 |        228 |
| bikezone_api\utils                                                                            |          7 |        218 |          9 |         41 |        268 |
| bikezone_api\utils (Files)                                                                    |          4 |        112 |          9 |         27 |        148 |
| bikezone_api\utils\templates                                                                  |          3 |        106 |          0 |         14 |        120 |
| bikezone_fe                                                                                   |        160 |     42,823 |        433 |      2,279 |     45,535 |
| bikezone_fe (Files)                                                                           |          6 |     28,590 |          1 |         40 |     28,631 |
| bikezone_fe\public                                                                            |          2 |         46 |         15 |         10 |         71 |
| bikezone_fe\src                                                                               |        152 |     14,187 |        417 |      2,229 |     16,833 |
| bikezone_fe\src (Files)                                                                       |          3 |        212 |          4 |         38 |        254 |
| bikezone_fe\src\admin                                                                         |         17 |      2,164 |         30 |        403 |      2,597 |
| bikezone_fe\src\admin\components                                                              |          1 |        153 |          0 |         23 |        176 |
